Project Site?,ORG ID Code,Name,PhysicalAddress,PhysicalAddress1,PhysicalCountry,PhysicalState,PhysicalCity,PhysicalZipCode,MailingAddress,MailingAddress1,MailingCountry,MailingState,MailingCity,MailingZipCode,Phone,Fax
,21,"Aiken, SC","237 Park Ave SW, Suite 226",,USA,South Carolina,Aiken,29801,,,,,,,,
,15,"Alexandria, VA","3601 Eisenhower Ave, Suite 140",,USA,Virginia,Alexandria,22304,,,,,,,,
,02,"Anchorage, AK",2525 C. Street Suite 130,,USA,Alaska,Anchorage,99503,,,,,,,(907) 290-8222,(907) 290-5160
,30,"Bremerton, WA",801 6th St,,USA,Washington,Bremerton,98337,,,,,,,(206) 775-8102,
,,"Butte, MT",103 N. Main St #103,,USA,Montana,Butte,59701,,,,,,,(406) 782-2822,
,,"Canoga Park, CA",5800 Woolsey Canyon Rd,Building 4034 â€“ RMHF,USA,California,Canoga Park,91304,,,,,,,,
,,"Carlsbad, NM - US DOE Site",4021 National Parks Hwy,,USA,New Mexico,Carlsbad,88220,,,,,,,(575) 234-7017,
,,"Denver, CO","9155 E. Nichols Ave, Suite 125",,USA,Colorado,Centennial,80112,,,,,,,(303) 741-4488,
,28,"Chelmsford, MA",25 Industrial Dr,,USA,Massachusetts,Chelmsford,,,,,,,,(208) 520-0940,
,25,"Cincinnati, OH","10999 Reed Hartman Hwy, Suite 316",,USA,Ohio,Cincinnati,45242,,,,,,,,
,34,"Colorado Springs, CO","4040 E Bijou St, Suite 140",,USA,Colorado,Colorado Springs,80909,,,,,,,(719) 896-4127,
Yes,,"Eielson AFB, AK",B2274 E. Loop,,USA,Alaska,Eielson AFB,99702,,,,,,,(907) 372-4380,
Yes,,"Fort Stewart, GA",Building CT0089,835     W 06th St,USA,Georgia,Fort Stewart,31314,WELDIN Construction,"PO BOX 4838
843 Hase RD",USA,GA,Fort Stewart ,31315,,
,,"Grand Junction, CO","200 Grand Ave, #319",,USA,Colorado,Grand Junction,81501,,,,,,,(970) 257-2100,
,08,"Greenville, SC",777 Lowndes Hill Road,"Building 3, Suite 301",USA,South Carolina,Greenville,29607,,,,,,,(864) 467-0811,(864) 467-9758
,35,"Hagatna, GU","J&G Commercial Plaza, Bldg. A, Suite 101",118 E Marine Corps Dr,USA,Guam,Hagatna,96910,,,,,,,(671) 300-6900,
,04,"Helena, MT",1065 N. Ewing St,,USA,Montana,Helena,59601,,,,,,,(406) 457-0027,
,36,"Honolulu, HI","1003 Bishop Street, Suite 2700",,USA,Hawaii,Honolulu,96813,,,,,,,,
,27,"Huntsville, AL","620 Discovery Dr, Building 2, Suite 375",,USA,Alabama,Huntsville,35806,,,,,,,,
,01,"Idaho Falls, ID - Freeman Park",1425 Higham St,,USA,Idaho,Idaho Falls,83402,,,,,,,(208) 528-8718,(208) 528-8714
,01,"Idaho Falls, ID - Taylors Crossing","1075 S Utah Ave, Suite 200",,USA,Idaho,Idaho Falls,83402,,,,,,,(208) 528-6608,(208) 523-8860
,29,"Jacksonville, FL","50 N Laura St, Suite 3635",,USA,Florida,Jacksonville,32202,,,,,,,(904) 289-8441,
Yes,,"Elmendorf AFB, AK",4280 Gibson Rd,,USA,Alaska,JBER,99505,,,,,,,(907) 290-7829,
Yes,,"Ft Richardson US Army Base, AK",728 Quartermaster Rd,,USA,Alaska,JBER,99505,,,,,,,(907) 519-6495,
,12,"Kellog, ID",1176 Big Creek Rd,,USA,Idaho,Kellogg,83837,,,,,,,(208) 783-1069,(208) 783-0671
,05,"Knoxville, TN",2800 Solway Rd,,USA,Tennessee,Knoxville,37931,,,,,,,(865) 413-1021,(865) 413-1029
,20,"Weldin Las Vegas, NV - Corporate Center Office",4351 Corporate Center Dr,,USA,Nevada,Las Vegas,89030,,,,,,,(702) 342-5935,
,20,"NWCS Las Vegas, NV - Arville Office",5740 Arville St,Suite 209,USA,Nevada,Las Vegas,89118,,,,,,,(702) 547-6628,(702) 229-4893
Yes,16,"Lenoir City, TN - TWPC",100 WIPP Rd,,USA,Tennessee,Lenoir City,37771,,,,,,,(865) 574-4840,
,03,"Los Alamos, NM","200 DP Rd, Suite 200",,USA,New Mexico,Los Alamos,87544,,,,,,,(505) 662-7600,(505) 662-0077
Yes,,"Luckey, OH",21200 Luckey Rd,Box 159,USA,Ohio,Luckey,43443,,,,,,,,
Yes,,"Moab, UT - US DOE Site",2021 North Hwy 191,,USA,Utah,Moab,84532,,,,,,,(435) 719-2800,
,32,"Morgantown, WV",1262 Suncrest Town Centre Dr,,USA,West Virginia,Morgantown,26505,,,,,,,,
,,"Navarre, FL",2017 Tampa Blvd,,USA,Florida,Navarre,32566,,,,,,,(850) 226-6120,(850) 226-6122
,22,"Norfolk, VA",440 Monticello Ave,,USA,Virginia,Norfolk,23510,,,,,,,(757) 955-8584,(757) 955-8501
,31,"Omaha, NE","1111 N. 13th St, Suite 308",,USA,Nebraska,Omaha,68102,,,,,,,(402) 739-8799,
,02,"Palmer, AK",901 W Evergreen Ave Suite 120,,USA,Alaska,Palmer,99645,,,,,,,(907) 290-8222,
,17,"Phoenix, AZ","2025 N 3rd St, Suite B260",,USA,Arizona,Phoenix,85004,,,,,,,(602) 362-8046,
Yes,,"Piketon, OH - PMA",PO Box 368,3930 U.S Route 23,USA,Ohio,Piketon,45661,,,,,,,,
,10,"Pinedale, WY",5 East Magnolia,,USA,Wyoming,Pinedale,82941,PO Box 2345 ,,USA,WY ,Pinedale,82941,(307) 367-8100,
,06,"Richland, WA","507 Knight St, Suite A",,USA,Washington,Richland,99352,,,,,,,(509) 943-7900,(509) 943-7901
,33,"Sacramento, CA",730 Howe Ave,STE 700,USA,California,Sacramento,95825,,,,,,,(916) 634-4765,
,19,"Salt Lake City, UT",764 E Winchester St,,USA,Utah,Salt Lake City,84107,,,,,,,,
,24,"San Antonio, TX","901 NE Loop 410, Suite 706",,USA,Texas,San Antonio,78209,,,,,,,(210) 601-9638,
Yes,,"San Diego, CA - US DOD SPAWAR Site",Naval Base Pt. Loma -- SPAWAR PacSys,49620 Beluga Rd -- Bldg 68,USA,California,San Diego,92152,,,,,,,,
,14,"San Diego, CA","3990 Old Town Ave, STE C102",,USA,California,San Diego,92110,,,,,,,(619) 278-4087,
,18,"Seattle, WA","801 2nd Ave, Suite 310",,USA,Washington,Seattle,98104,,,,,,,(206) 823-3394,(206) 823-3399
,,"Crescent Junction, UT - US DOE Site",0.15 County Rd 223,,USA,Utah,Thompson Springs,84540,,,,,,,(435) 564-3425,
,,"Washington, DC - US DOE D.C. Forrestal Bldg.",U.S. Department of Energy,"1000 Independence Ave, SWJames V. Forrestal Building",USA,District of Columbia,Washington,20585,,,,,,,,
,,"Washington, DC - National Defense University",National Defense University,"300 5th Ave, S.W.Fort Lesley J. McNair",USA,District of Columbia,Washington,20319-5066,,,,,,,,
,02,"Wasilla, AK",3050 Cottle Loop,,USA,Alaska,Wasilla,99654,,,,,,,(907) 290-8222,
,,"West Valley, NY - US DOE Site",U.S. Department of Energy,10282 Rock Springs Rd,USA,New York,West Valley,14171-9702,,,,,,,,
Yes,07,"White Sands, NM - US DOD WSMR Site",9c Contractor Row,,USA,New Mexico,White Sands Missile Range,88002,P.O. Box 10,,USA,NM,White Sands Missile Range,88002,(575) 647-4221,
,11,"Yuma, AZ","291 S Main St, Suite L",,USA,Arizona,Yuma,85364,"291 S Main St, Suite L",,USA,Arizona,Yuma,85364,,
Yes,,"Yuma, AZ - US DOD YPG Site",301 C St,Bldg. 105,USA,Arizona,Yuma (YPG),85365,,,,,,,(928) 328-2630,(928) 328-6253
