ORG ID Code,Name,PhysicalAddress,PhysicalAddress1,PhysicalCountry,PhysicalState,PhysicalCity,PhysicalZipCode,MailingAddress,MailingAddress1,MailingCountry,MailingState,MailingZipCode,Phone,Fax,Import Status,Reason,
21,"Aiken, SC","237 Park Ave SW, Suite 226",,USA,South Carolina,Aiken,29801,,,,,,,,Success,Addedd Successfully,
15,"Alexandria, VA","3601 Eisenhower Ave, Suite 140",,USA,Virginia,Alexandria,22304,,,,,,,,Success,Addedd Successfully,
02,"Anchorage, AK",2525 C. Street Suite 130,,USA,Alaska,Anchorage,99503,,,,,,(907) 290-8222,(907) 290-5160,Success,Addedd Successfully,
30,"Bremerton, WA",801 6th St,,USA,Washington,Bremerton,98337,,,,,,(206) 775-8102,,Success,Addedd Successfully,
,"Butte, MT",103 N. Main St #103,,USA,Montana,Butte,59701,,,,,,(406) 782-2822,,Fail,Office Code is empty,
,"Canoga Park, CA",5800 Woolsey Canyon Rd,Building 4034 â€“ RMHF,USA,California,Canoga Park,91304,,,,,,,,Fail,Office Code is empty,
,"Carlsbad, NM - US DOE Site",4021 National Parks Hwy,,USA,New Mexico,Carlsbad,88220,,,,,,(575) 234-7017,,Fail,Office Code is empty,
,"Denver, CO","9155 E. Nichols Ave, Suite 125",,USA,Colorado,Centennial,80112,,,,,,(303) 741-4488,,Fail,Office Code is empty,
28,"Chelmsford, MA",25 Industrial Dr,,USA,Massachusetts,Chelmsford,,,,,,,(208) 520-0940,,Success,Addedd Successfully,
25,"Cincinnati, OH","10999 Reed Hartman Hwy, Suite 316",,USA,Ohio,Cincinnati,45242,,,,,,,,Success,Addedd Successfully,
34,"Colorado Springs, CO","4040 E Bijou St, Suite 140",,USA,Colorado,Colorado Springs,80909,,,,,,(719) 896-4127,,Success,Addedd Successfully,
,"Eielson AFB, AK",B2274 E. Loop,,USA,Alaska,Eielson AFB,99702,,,,,,(907) 372-4380,,Fail,Office Code is empty,
,"Fort Stewart, GA",Building CT0089,835     W 06th St,USA,Georgia,Fort Stewart,31314,WELDIN Construction,PO BOX 4838
843 Hase RD,USA,GA,31315,,,Fail,Office Code is empty,
,"Grand Junction, CO","200 Grand Ave, #319",,USA,Colorado,Grand Junction,81501,,,,,,(970) 257-2100,,Fail,Office Code is empty,
08,"Greenville, SC",777 Lowndes Hill Road,"Building 3, Suite 301",USA,South Carolina,Greenville,29607,,,,,,(864) 467-0811,(864) 467-9758,Success,Addedd Successfully,
35,"Hagatna, GU","J&G Commercial Plaza, Bldg. A, Suite 101",118 E Marine Corps Dr,USA,Guam,Hagatna,96910,,,,,,(671) 300-6900,,Success,Addedd Successfully,
04,"Helena, MT",1065 N. Ewing St,,USA,Montana,Helena,59601,,,,,,(406) 457-0027,,Success,Addedd Successfully,
36,"Honolulu, HI","1003 Bishop Street, Suite 2700",,USA,Hawaii,Honolulu,96813,,,,,,,,Success,Addedd Successfully,
27,"Huntsville, AL","620 Discovery Dr, Building 2, Suite 375",,USA,Alabama,Huntsville,35806,,,,,,,,Success,Addedd Successfully,
01,"Idaho Falls, ID - Freeman Park",1425 Higham St,,USA,Idaho,Idaho Falls,83402,,,,,,(208) 528-8718,(208) 528-8714,Success,Addedd Successfully,
01,"Idaho Falls, ID - Taylors Crossing","1075 S Utah Ave, Suite 200",,USA,Idaho,Idaho Falls,83402,,,,,,(208) 528-6608,(208) 523-8860,Success,Updated Successfully,
29,"Jacksonville, FL","50 N Laura St, Suite 3635",,USA,Florida,Jacksonville,32202,,,,,,(904) 289-8441,,Success,Addedd Successfully,
,"Elmendorf AFB, AK",4280 Gibson Rd,,USA,Alaska,JBER,99505,,,,,,(907) 290-7829,,Fail,Office Code is empty,
,"Ft Richardson US Army Base, AK",728 Quartermaster Rd,,USA,Alaska,JBER,99505,,,,,,(907) 519-6495,,Fail,Office Code is empty,
12,"Kellog, ID",1176 Big Creek Rd,,USA,Idaho,Kellogg,83837,,,,,,(208) 783-1069,(208) 783-0671,Success,Addedd Successfully,
05,"Knoxville, TN",2800 Solway Rd,,USA,Tennessee,Knoxville,37931,,,,,,(865) 413-1021,(865) 413-1029,Success,Addedd Successfully,
20,"Weldin Las Vegas, NV - Corporate Center Office",4351 Corporate Center Dr,,USA,Nevada,Las Vegas,89030,,,,,,(702) 342-5935,,Success,Addedd Successfully,
20,"NWCS Las Vegas, NV - Arville Office",5740 Arville St,Suite 209,USA,Nevada,Las Vegas,89118,,,,,,(702) 547-6628,(702) 229-4893,Success,Updated Successfully,
16,"Lenoir City, TN - TWPC",100 WIPP Rd,,USA,Tennessee,Lenoir City,37771,,,,,,(865) 574-4840,,Success,Addedd Successfully,
03,"Los Alamos, NM","200 DP Rd, Suite 200",,USA,New Mexico,Los Alamos,87544,,,,,,(505) 662-7600,(505) 662-0077,Success,Addedd Successfully,
,"Luckey, OH",21200 Luckey Rd,Box 159,USA,Ohio,Luckey,43443,,,,,,,,Fail,Office Code is empty,
,"Moab, UT - US DOE Site",2021 North Hwy 191,,USA,Utah,Moab,84532,,,,,,(435) 719-2800,,Fail,Office Code is empty,
32,"Morgantown, WV",1262 Suncrest Town Centre Dr,,USA,West Virginia,Morgantown,26505,,,,,,,,Success,Addedd Successfully,
,"Navarre, FL",2017 Tampa Blvd,,USA,Florida,Navarre,32566,,,,,,(850) 226-6120,(850) 226-6122,Fail,Office Code is empty,
22,"Norfolk, VA",440 Monticello Ave,,USA,Virginia,Norfolk,23510,,,,,,(757) 955-8584,(757) 955-8501,Success,Addedd Successfully,
31,"Omaha, NE","1111 N. 13th St, Suite 308",,USA,Nebraska,Omaha,68102,,,,,,(402) 739-8799,,Success,Addedd Successfully,
02,"Palmer, AK",901 W Evergreen Ave Suite 120,,USA,Alaska,Palmer,99645,,,,,,(907) 290-8222,,Success,Updated Successfully,
17,"Phoenix, AZ","2025 N 3rd St, Suite B260",,USA,Arizona,Phoenix,85004,,,,,,(602) 362-8046,,Success,Addedd Successfully,
,"Piketon, OH - PMA",PO Box 368,3930 U.S Route 23,USA,Ohio,Piketon,45661,,,,,,,,Fail,Office Code is empty,
10,"Pinedale, WY",5 East Magnolia,,USA,Wyoming,Pinedale,82941,PO Box 2345 ,,USA,WY ,82941,(307) 367-8100,,Success,Addedd Successfully,
06,"Richland, WA","507 Knight St, Suite A",,USA,Washington,Richland,99352,,,,,,(509) 943-7900,(509) 943-7901,Success,Addedd Successfully,
33,"Sacramento, CA",730 Howe Ave,STE 700,USA,California,Sacramento,95825,,,,,,(916) 634-4765,,Success,Addedd Successfully,
19,"Salt Lake City, UT",764 E Winchester St,,USA,Utah,Salt Lake City,84107,,,,,,,,Success,Addedd Successfully,
24,"San Antonio, TX","901 NE Loop 410, Suite 706",,USA,Texas,San Antonio,78209,,,,,,(210) 601-9638,,Success,Addedd Successfully,
,"San Diego, CA - US DOD SPAWAR Site",Naval Base Pt. Loma -- SPAWAR PacSys,49620 Beluga Rd -- Bldg 68,USA,California,San Diego,92152,,,,,,,,Fail,Office Code is empty,
14,"San Diego, CA","3990 Old Town Ave, STE C102",,USA,California,San Diego,92110,,,,,,(619) 278-4087,,Success,Addedd Successfully,
18,"Seattle, WA","801 2nd Ave, Suite 310",,USA,Washington,Seattle,98104,,,,,,(206) 823-3394,(206) 823-3399,Success,Addedd Successfully,
,"Crescent Junction, UT - US DOE Site",0.15 County Rd 223,,USA,Utah,Thompson Springs,84540,,,,,,(435) 564-3425,,Fail,Office Code is empty,
,"Washington, DC - US DOE D.C. Forrestal Bldg.",U.S. Department of Energy,"1000 Independence Ave, SWJames V. Forrestal Building",USA,District of Columbia,Washington,20585,,,,,,,,Fail,Office Code is empty,
,"Washington, DC - National Defense University",National Defense University,"300 5th Ave, S.W.Fort Lesley J. McNair",USA,District of Columbia,Washington,20319-5066,,,,,,,,Fail,Office Code is empty,
02,"Wasilla, AK",3050 Cottle Loop,,USA,Alaska,Wasilla,99654,,,,,,(907) 290-8222,,Success,Updated Successfully,
,"West Valley, NY - US DOE Site",U.S. Department of Energy,10282 Rock Springs Rd,USA,New York,West Valley,14171-9702,,,,,,,,Fail,Office Code is empty,
07,"White Sands, NM - US DOD WSMR Site",9c Contractor Row,,USA,New Mexico,White Sands Missile Range,88002,P.O. Box 10,,USA,NM,88002,(575) 647-4221,,Success,Addedd Successfully,
11,"Yuma, AZ","291 S Main St, Suite L",,USA,Arizona,Yuma,85364,"291 S Main St, Suite L",,USA,Arizona,85364,,,Success,Addedd Successfully,
,"Yuma, AZ - US DOD YPG Site",301 C St,Bldg. 105,USA,Arizona,Yuma (YPG),85365,,,,,,(928) 328-2630,(928) 328-6253,Fail,Office Code is empty,
